S1,S2,S3,S4,Clase
1,0,2255,779,Pinza
304,0,2253,790,Pinza
1054,0,2230,611,Pinza
351,0,2270,598,Pinza
87,0,2259,779,Pinza
598,0,2265,495,Pinza
132,0,2259,532,Pinza
315,0,2243,593,Pinza
157,0,2243,707,Pinza
0,0,2279,607,Pinza
0,0,2240,661,Pinza
0,0,2256,470,Pinza
1061,107,2263,480,Pinza
683,0,2225,411,Pinza
871,0,2273,496,Pinza
236,0,2263,486,Pinza
336,0,2245,331,Pinza
340,0,2249,407,Pinza
77,0,2239,442,Pinza
0,0,2246,333,Pinza
559,0,2250,544,Pinza
174,0,2274,347,Pinza
268,0,2275,368,Pinza
708,0,2237,324,Pinza
194,0,2253,86,Pinza
53,0,2224,301,Pinza
953,0,2243,156,Pinza
511,0,2221,108,Pinza
105,0,2263,247,Pinza
10,0,2274,131,Pinza
0,0,2266,387,Pinza
583,477,2247,455,Pinza
922,34,2237,765,Pinza
262,0,2283,634,Pinza
1286,0,2246,450,Pinza
378,0,2250,435,Pinza
60,0,2254,287,Pinza
1019,0,2275,176,Pinza
1065,0,2289,199,Pinza
1040,0,2268,226,Pinza
272,0,2270,242,Pinza
1362,0,2256,210,Pinza
960,0,2256,122,Pinza
267,0,2266,217,Pinza
0,0,2215,192,Pinza
336,0,2255,192,Pinza
341,0,2279,128,Pinza
19,0,2251,279,Pinza
0,0,2273,157,Pinza
209,0,2275,243,Pinza
25,0,2237,268,Pinza
342,0,2260,197,Pinza
681,0,2240,139,Pinza
749,0,2263,69,Pinza
177,0,2246,173,Pinza
18,0,2281,195,Pinza
391,0,2240,250,Pinza
119,0,2235,325,Pinza
351,0,2298,193,Pinza
77,0,2255,195,Pinza
729,0,2279,154,Pinza
187,0,2263,224,Pinza
331,0,2237,326,Pinza
57,0,2274,511,Pinza
329,0,2231,578,Pinza
86,0,2290,560,Pinza
544,0,2245,397,Pinza
411,0,2207,397,Pinza
134,0,2251,613,Pinza
0,0,2307,387,Pinza
275,0,2238,464,Pinza
43,0,2256,413,Pinza
1032,0,2247,511,Pinza
703,0,2288,421,Pinza
1060,0,2237,405,Pinza
320,0,2257,499,Pinza
1213,0,2249,368,Pinza
352,0,2235,529,Pinza
80,0,2242,570,Pinza
535,0,2270,369,Pinza
134,0,2265,403,Pinza
0,0,2281,448,Pinza
285,0,2273,282,Pinza
349,0,2227,222,Pinza
341,0,2290,343,Pinza
974,0,2257,371,Pinza
496,0,2256,327,Pinza
1171,0,2210,287,Pinza
304,0,2252,353,Pinza
383,0,2266,320,Pinza
265,0,2259,153,Pinza
0,0,2250,158,Pinza
349,0,2256,164,Pinza
402,0,2270,122,Pinza
128,0,2244,142,Pinza
1205,0,2251,251,Pinza
971,0,2279,714,Pinza
592,0,2249,605,Pinza
924,0,2274,487,Pinza
240,58,2256,400,Pinza
641,0,2273,236,Pinza
752,0,2270,148,Pinza
172,0,2270,97,Pinza
883,0,2252,133,Pinza
181,0,2277,206,Pinza
27,0,2285,86,Pinza
575,0,2227,167,Pinza
192,0,2257,158,Pinza
684,0,2256,240,Pinza
743,0,2302,222,Pinza
767,0,2256,179,Pinza
711,441,2259,266,Pinza
209,42,2261,230,Pinza
656,445,2241,313,Pinza
1072,91,2265,224,Pinza
246,0,2256,287,Pinza
815,0,2247,186,Pinza
543,0,2267,144,Pinza
455,0,2239,201,Pinza
89,0,2276,144,Pinza
321,0,2258,155,Pinza
913,0,2247,225,Pinza
266,0,2281,302,Pinza
651,0,2265,452,Pinza
128,0,2227,426,Pinza
0,0,2248,373,Pinza
0,0,2241,330,Pinza
0,0,2269,416,Pinza
870,0,2259,374,Pinza
239,0,2263,527,Pinza
67,0,2265,304,Pinza
528,0,2258,243,Pinza
723,0,2240,297,Pinza
496,0,2257,338,Pinza
80,0,2241,336,Pinza
0,0,2266,317,Pinza
581,0,2245,208,Pinza
450,0,2277,230,Pinza
560,0,2290,208,Pinza
141,0,2240,174,Pinza
347,0,2227,160,Pinza
1126,0,2249,165,Pinza
285,0,2285,175,Pinza
357,0,2256,166,Pinza
969,0,2277,135,Pinza
219,0,2285,173,Pinza
560,0,2250,70,Pinza
406,0,2244,81,Pinza
906,0,2251,157,Pinza
1294,0,2255,97,Pinza
383,375,2239,125,Pinza
1677,16,2245,48,Pinza
976,0,2282,115,Pinza
639,0,2219,291,Pinza
1040,0,2278,194,Pinza
566,0,2224,215,Pinza
724,0,2226,379,Pinza
225,0,2243,391,Pinza
0,0,2246,451,Pinza
13,0,2242,534,Pinza
0,0,2254,413,Pinza
0,0,2256,371,Pinza
0,437,2224,336,Pinza
0,77,2245,274,Pinza
250,0,2245,233,Pinza
880,0,2275,272,Pinza
1373,0,2252,175,Pinza
369,0,2285,177,Pinza
961,0,2256,144,Pinza
848,0,2240,237,Pinza
576,0,2267,272,Pinza
158,0,2259,202,Pinza
528,0,2304,7,Pinza
959,0,2299,16,Pinza
227,464,2268,183,Pinza
275,80,2254,158,Pinza
103,0,2250,167,Pinza
0,0,2249,141,Pinza
409,0,2249,83,Pinza
397,0,2304,0,Pinza
876,0,2270,206,Pinza
1150,0,2211,206,Pinza
322,0,2289,240,Pinza
786,0,2284,115,Pinza
218,0,2245,195,Pinza
369,0,2258,139,Pinza
44,0,2290,137,Pinza
256,0,2283,112,Pinza
449,0,2285,241,Pinza
758,0,2256,270,Pinza
790,0,2271,225,Pinza
201,0,2249,298,Pinza
467,0,2257,312,Pinza
122,0,2239,327,Pinza
565,442,2291,253,Pinza
777,0,2274,166,Pinza
186,0,2252,250,Pinza
26,0,2272,177,Pinza
263,0,2261,191,Pinza
0,0,2256,207,Pinza
177,0,2218,176,Pinza
0,0,2261,146,Pinza
815,0,2271,133,Pinza
525,0,2261,173,Pinza
114,0,2240,128,Pinza
606,0,2289,194,Pinza
1152,0,2256,122,Pinza
1023,0,2259,162,Pinza
879,0,2255,271,Pinza
231,0,2267,244,Pinza
13,0,2263,267,Pinza
560,65,2272,235,Pinza
97,0,2279,272,Pinza
1263,0,2270,235,Pinza
496,0,2256,157,Pinza
133,0,2265,461,Pinza
36,0,2248,464,Pinza
1114,80,2272,338,Pinza
900,0,2250,321,Pinza
1058,0,2272,205,Pinza
1139,0,2259,198,Pinza
704,0,2274,207,Pinza
195,0,2258,436,Pinza
1294,0,2250,582,Pinza
1199,0,2266,910,Pinza
368,102,2262,817,Pinza
912,7,2246,487,Pinza
1134,0,2255,384,Pinza
288,0,2273,364,Pinza
332,0,2249,368,Pinza
640,0,2222,342,Pinza
185,0,2240,235,Pinza
293,0,2237,168,Pinza
449,0,2305,324,Pinza
1137,112,2245,298,Pinza
1061,0,2249,208,Pinza
278,0,2278,80,Pinza
596,158,2243,179,Pinza
1557,229,2264,146,Pinza
1264,0,2272,64,Pinza
547,0,2270,80,Pinza
469,0,2245,136,Pinza
732,0,2272,127,Pinza
742,0,2219,68,Pinza
176,0,2237,62,Pinza
4,134,2263,3,Pinza
213,233,2288,114,Pinza
848,262,2242,70,Pinza
604,21,2288,136,Pinza
133,0,2290,140,Pinza
9,0,2258,145,Pinza
394,0,2285,163,Pinza
44,0,2256,193,Pinza
0,0,2242,186,Pinza
3,0,2259,373,Pinza
0,0,2259,320,Pinza
0,177,2319,205,Pinza
377,0,2252,230,Pinza
1011,0,2288,154,Pinza
788,0,2225,267,Pinza
192,0,2263,287,Pinza
294,0,2292,310,Pinza
649,0,2241,299,Pinza
160,112,2266,306,Pinza
100,0,2267,314,Pinza
784,0,2256,431,Pinza
796,175,2257,387,Pinza
495,261,2284,478,Pinza
135,10,2235,531,Pinza
0,0,2277,454,Pinza
0,144,2262,587,Pinza
0,0,2233,418,Pinza
0,0,2259,275,Pinza
871,0,2279,315,Pinza
483,461,2258,257,Pinza
1067,341,2242,432,Pinza
265,0,2227,187,Pinza
720,454,2287,251,Pinza
299,332,2283,309,Pinza
442,51,2283,281,Pinza
98,0,2259,237,Pinza
2,0,2271,253,Pinza
0,0,2261,239,Pinza
822,103,2271,220,Pinza
488,0,2264,211,Pinza
351,186,2240,219,Pinza
877,0,2251,153,Pinza
1014,0,2256,150,Pinza
336,0,2242,86,Pinza
560,0,2295,240,Pinza
703,0,2288,66,Pinza
688,0,2251,112,Pinza
1042,163,2239,272,Pinza
885,0,2251,185,Pinza
894,187,2250,412,Pinza
845,0,2303,529,Pinza
1354,234,2273,415,Pinza
1740,0,2271,400,Pinza
848,477,2267,333,Pinza
804,34,2300,298,Pinza
581,0,2288,211,Pinza
738,0,2265,229,Pinza
992,0,2291,336,Pinza
253,0,2279,241,Pinza
22,0,2272,266,Pinza
0,0,2261,139,Pinza
0,0,2286,144,Pinza
1215,0,2252,147,Pinza
1254,0,2288,98,Pinza
1175,175,2262,113,Pinza
1164,0,2294,111,Pinza
615,0,2278,101,Pinza
983,504,2253,100,Pinza
1535,48,2267,303,Pinza
1263,205,2245,299,Pinza
321,292,2266,153,Pinza
412,0,2288,86,Pinza
372,0,2286,106,Pinza
84,166,2256,332,Pinza
360,0,2254,307,Pinza
1151,0,2275,336,Pinza
290,144,2265,486,Pinza
336,0,2269,345,Pinza
81,173,2297,309,Pinza
0,0,2278,290,Pinza
592,0,2288,384,Pinza
465,0,2241,305,Pinza
829,0,2274,425,Pinza
846,0,2277,385,Pinza
538,431,2259,304,Pinza
691,0,2290,319,Pinza
1283,0,2233,249,Pinza
1227,0,2254,196,Pinza
977,0,2270,367,Pinza
865,0,2241,287,Pinza
333,0,2277,260,Pinza
336,175,2283,368,Pinza
166,0,2290,320,Pinza
617,0,2271,302,Pinza
474,434,2237,213,Pinza
119,0,2271,336,Pinza
663,186,2298,275,Pinza
455,0,2225,365,Pinza
651,0,2259,341,Pinza
464,0,2259,271,Pinza
422,0,2227,261,Pinza
366,144,2291,185,Pinza
71,0,2298,263,Pinza
576,0,2258,124,Pinza
245,0,2257,182,Pinza
807,93,2286,449,Pinza
779,0,2278,647,Pinza
759,0,2272,544,Pinza
176,0,2315,397,Pinza
731,0,2271,431,Pinza
592,0,2270,359,Pinza
1535,0,2255,422,Pinza
981,439,2240,374,Pinza
866,347,2309,383,Pinza
205,294,2269,309,Pinza
112,0,2268,325,Pinza
495,0,2273,225,Pinza
80,452,2313,219,Pinza
0,26,2256,304,Pinza
273,186,2294,336,Pinza
277,264,2249,226,Pinza
64,0,2280,346,Pinza
816,0,2258,245,Pinza
1014,78,2270,262,Pinza
1662,533,2270,103,Pinza
468,336,2284,240,Pinza
119,0,2290,97,Pinza
538,203,2297,64,Pinza
1491,310,2278,45,Pinza
399,257,2261,30,Pinza
640,0,2279,27,Pinza
1584,0,2299,272,Pinza
998,0,2257,290,Pinza
1280,0,2240,363,Pinza
375,0,2287,214,Pinza
118,0,2271,192,Pinza
121,0,2256,239,Pinza
0,0,2263,548,Pinza
0,0,2268,497,Pinza
0,0,2269,395,Pinza
539,0,2283,375,Pinza
704,0,2258,363,Pinza
1009,454,2247,336,Pinza
278,39,2254,298,Pinza
171,0,2217,244,Pinza
588,0,2256,309,Pinza
725,0,2253,465,Pinza
899,0,2276,406,Pinza
710,207,2285,265,Pinza
481,0,2231,269,Pinza
688,0,2283,371,Pinza
192,0,2278,256,Pinza
306,0,2250,261,Pinza
454,0,2263,273,Pinza
912,413,2286,267,Pinza
647,279,2252,289,Pinza
585,0,2256,347,Pinza
1673,0,2258,202,Pinza
1235,0,2271,272,Pinza
1700,170,2266,334,Pinza
1742,216,2304,268,Pinza
1519,0,2224,214,Pinza
413,0,2258,215,Pinza
880,0,2279,147,Pinza
1143,0,2226,191,Pinza
624,154,2285,277,Pinza
121,0,2256,282,Pinza
1137,144,2274,235,Pinza
307,0,2218,242,Pinza
919,0,2255,150,Pinza
1050,154,2236,60,Pinza
336,0,2273,98,Pinza
464,0,2271,149,Pinza
383,0,2310,430,Pinza
695,0,2283,481,Pinza
1341,0,2252,462,Pinza
624,106,2257,265,Pinza
1018,0,2270,165,Pinza
305,0,2273,289,Pinza
742,167,2272,243,Pinza
214,0,2268,245,Pinza
316,185,2241,203,Pinza
1342,0,2263,313,Pinza
1575,0,2249,229,Pinza
765,135,2285,304,Pinza
800,203,2273,187,Pinza
170,560,2266,240,Pinza
851,62,2305,286,Pinza
547,0,2258,261,Pinza
453,0,2246,203,Pinza
640,0,2251,137,Pinza
