S1,S2,S3,S4,Clase
1726,893,2250,78,Abrir
1535,458,2250,115,Abrir
1232,658,2231,203,Abrir
1561,656,2271,225,Abrir
1115,739,2244,265,Abrir
1262,106,2224,193,Abrir
1470,798,2262,221,Abrir
1296,238,2256,244,Abrir
1589,0,2230,392,Abrir
1710,0,2274,491,Abrir
1141,0,2241,362,Abrir
1456,233,2255,441,Abrir
1393,371,2250,692,Abrir
1041,803,2243,687,Abrir
1412,899,2267,933,Abrir
1738,784,2226,976,Abrir
509,397,2259,794,Abrir
112,315,2259,839,Abrir
332,190,2257,987,Abrir
28,50,2291,949,Abrir
1200,358,2269,1066,Abrir
1680,432,2243,704,Abrir
463,646,2253,650,Abrir
440,725,2283,566,Abrir
976,858,2254,595,Abrir
1472,589,2257,690,Abrir
1840,989,2281,707,Abrir
1655,1111,2257,611,Abrir
1614,1331,2256,641,Abrir
1600,953,2278,742,Abrir
1668,1620,2237,721,Abrir
1671,1062,2255,576,Abrir
1271,1146,2271,511,Abrir
2004,827,2256,447,Abrir
1771,667,2255,463,Abrir
1639,973,2235,496,Abrir
1339,1090,2256,464,Abrir
1624,1090,2249,526,Abrir
1407,1085,2256,400,Abrir
1335,1164,2266,340,Abrir
1825,883,2276,277,Abrir
2368,1235,2241,341,Abrir
1975,1359,2224,486,Abrir
2059,1259,2279,388,Abrir
1751,1360,2263,274,Abrir
2397,1323,2241,317,Abrir
1523,1487,2266,235,Abrir
1750,1331,2254,194,Abrir
2141,1279,2256,416,Abrir
2741,1752,2254,97,Abrir
2437,1635,2258,17,Abrir
2293,1714,2240,25,Abrir
1822,1527,2257,0,Abrir
1998,1857,2272,0,Abrir
592,483,2265,0,Abrir
96,93,2241,0,Abrir
0,0,2243,0,Abrir
0,0,2243,0,Abrir
0,144,2224,0,Abrir
1136,0,2270,0,Abrir
525,570,2228,13,Abrir
1265,766,2240,0,Abrir
1039,112,2272,0,Abrir
1929,0,2278,0,Abrir
1595,816,2258,0,Abrir
1872,803,2241,0,Abrir
1395,474,2235,0,Abrir
741,368,2261,0,Abrir
1084,726,2260,0,Abrir
1487,1015,2247,0,Abrir
430,976,2285,0,Abrir
1630,1488,2243,0,Abrir
807,899,2255,0,Abrir
1360,1276,2241,70,Abrir
1535,611,2275,134,Abrir
2064,624,2246,185,Abrir
916,840,2269,112,Abrir
1615,913,2229,224,Abrir
2211,748,2258,289,Abrir
2271,902,2249,341,Abrir
2059,962,2243,560,Abrir
2304,781,2282,459,Abrir
1903,912,2257,687,Abrir
852,271,2234,690,Abrir
1415,461,2245,639,Abrir
1895,964,2249,720,Abrir
1483,594,2258,805,Abrir
850,579,2242,670,Abrir
247,173,2293,866,Abrir
766,139,2269,770,Abrir
203,0,2254,846,Abrir
719,361,2254,877,Abrir
1329,123,2255,1065,Abrir
1388,70,2251,862,Abrir
743,234,2256,605,Abrir
848,436,2278,837,Abrir
1311,457,2231,565,Abrir
372,365,2286,450,Abrir
850,395,2213,457,Abrir
1434,717,2272,511,Abrir
1811,251,2282,385,Abrir
1299,372,2244,383,Abrir
1559,919,2231,373,Abrir
1613,1326,2203,385,Abrir
2183,1067,2264,320,Abrir
1629,1142,2220,389,Abrir
1686,803,2237,381,Abrir
495,252,2226,405,Abrir
1347,528,2242,401,Abrir
432,495,2237,511,Abrir
1184,793,2242,369,Abrir
1525,988,2256,358,Abrir
1403,647,2290,297,Abrir
848,1142,2250,346,Abrir
1141,822,2274,373,Abrir
1925,528,2250,191,Abrir
1570,872,2254,276,Abrir
1300,786,2217,325,Abrir
1133,1040,2240,201,Abrir
1011,1075,2256,370,Abrir
1763,1492,2267,112,Abrir
1728,592,2269,0,Abrir
1136,1061,2240,0,Abrir
1829,812,2275,0,Abrir
1817,528,2273,0,Abrir
1902,1136,2259,0,Abrir
1488,614,2233,0,Abrir
1638,758,2276,0,Abrir
1809,935,2230,0,Abrir
1953,493,2297,22,Abrir
2255,1170,2214,16,Abrir
1767,972,2240,54,Abrir
1535,703,2238,0,Abrir
1699,1181,2240,25,Abrir
2157,1193,2237,32,Abrir
1861,954,2274,0,Abrir
1971,1104,2240,14,Abrir
2348,841,2270,162,Abrir
1840,849,2258,123,Abrir
1749,1222,2231,162,Abrir
1248,1216,2261,106,Abrir
1253,1283,2245,128,Abrir
1515,1101,2224,156,Abrir
1846,641,2249,174,Abrir
1168,619,2246,143,Abrir
1221,644,2273,80,Abrir
1657,436,2249,204,Abrir
1269,351,2242,177,Abrir
1099,1326,2245,194,Abrir
1711,913,2211,197,Abrir
1700,644,2256,270,Abrir
1385,499,2256,433,Abrir
366,270,2272,529,Abrir
1094,860,2258,613,Abrir
1904,1207,2222,882,Abrir
2153,774,2276,883,Abrir
2128,1200,2256,912,Abrir
2066,860,2241,896,Abrir
2145,1330,2214,837,Abrir
2198,1315,2246,881,Abrir
1328,1456,2270,941,Abrir
1845,1220,2247,929,Abrir
2107,938,2227,698,Abrir
1943,1057,2291,935,Abrir
2512,1266,2271,1064,Abrir
1904,960,2227,800,Abrir
1827,1480,2256,668,Abrir
2781,1359,2268,438,Abrir
2540,1807,2213,539,Abrir
2650,2011,2263,561,Abrir
2817,1245,2218,354,Abrir
1702,640,2256,307,Abrir
2291,1356,2243,387,Abrir
2166,1182,2270,442,Abrir
2211,1277,2254,422,Abrir
2617,1575,2247,385,Abrir
2559,1634,2245,339,Abrir
2758,1296,2221,343,Abrir
2335,1221,2248,496,Abrir
2189,1570,2265,459,Abrir
1557,1238,2242,421,Abrir
2110,1065,2240,454,Abrir
1921,767,2219,258,Abrir
1799,1265,2265,336,Abrir
2020,1410,2241,211,Abrir
2006,1410,2288,50,Abrir
1047,1241,2266,0,Abrir
1710,831,2261,0,Abrir
1811,114,2277,0,Abrir
1883,295,2256,0,Abrir
1491,874,2238,0,Abrir
768,429,2271,0,Abrir
1063,395,2256,0,Abrir
267,18,2259,0,Abrir
214,394,2239,0,Abrir
1377,678,2281,0,Abrir
1019,567,2246,0,Abrir
1658,58,2270,0,Abrir
1909,661,2263,0,Abrir
1258,73,2229,0,Abrir
1808,864,2256,0,Abrir
1658,771,2248,0,Abrir
1361,636,2265,0,Abrir
704,391,2255,157,Abrir
749,667,2240,37,Abrir
955,368,2267,126,Abrir
593,245,2256,272,Abrir
1617,834,2221,509,Abrir
1570,869,2277,608,Abrir
1457,697,2271,851,Abrir
1747,715,2275,644,Abrir
1830,811,2272,897,Abrir
1893,1015,2253,829,Abrir
2128,892,2243,1526,Abrir
2296,684,2251,1239,Abrir
1671,944,2273,1122,Abrir
2261,1206,2239,1649,Abrir
1589,877,2276,1478,Abrir
1351,1117,2258,2378,Abrir
496,665,2273,2295,Abrir
764,753,2270,2271,Abrir
366,576,2275,2165,Abrir
275,645,2275,2185,Abrir
228,548,2256,1947,Abrir
98,650,2241,1455,Abrir
64,659,2263,1758,Abrir
105,511,2270,1726,Abrir
354,267,2281,1643,Abrir
123,319,2250,1661,Abrir
1615,901,2256,1653,Abrir
535,852,2277,1490,Abrir
1189,433,2271,1294,Abrir
1471,793,2257,1185,Abrir
1611,1074,2261,1840,Abrir
1850,1443,2235,1717,Abrir
1735,718,2275,1600,Abrir
2223,1093,2247,1565,Abrir
1689,847,2244,1505,Abrir
1744,839,2256,1333,Abrir
2114,1215,2247,1662,Abrir
2112,1328,2255,1445,Abrir
1937,1633,2259,1934,Abrir
2179,1140,2258,643,Abrir
2198,722,2218,205,Abrir
1891,464,2268,59,Abrir
2273,797,2269,97,Abrir
1698,800,2256,106,Abrir
2225,754,2231,30,Abrir
1579,1011,2265,65,Abrir
784,576,2259,139,Abrir
1535,604,2255,41,Abrir
1635,951,2240,87,Abrir
1885,549,2256,339,Abrir
1554,746,2206,195,Abrir
1647,655,2268,74,Abrir
1405,106,2242,174,Abrir
374,0,2224,187,Abrir
1178,0,2280,178,Abrir
1112,0,2256,128,Abrir
1042,341,2241,47,Abrir
939,691,2257,97,Abrir
937,1002,2286,202,Abrir
1498,1168,2257,273,Abrir
1168,1410,2250,528,Abrir
385,555,2233,750,Abrir
1060,1273,2257,950,Abrir
1794,1118,2237,1019,Abrir
2221,624,2286,1655,Abrir
2089,1264,2257,1844,Abrir
1962,1264,2274,1779,Abrir
2153,1034,2218,1945,Abrir
684,1421,2274,2067,Abrir
1535,1136,2256,1811,Abrir
1826,1461,2250,2023,Abrir
1808,1308,2245,2661,Abrir
1843,1064,2256,2921,Abrir
2143,1375,2259,2182,Abrir
2112,1067,2245,3024,Abrir
1812,1227,2246,1943,Abrir
2371,848,2281,1856,Abrir
2437,1119,2271,1757,Abrir
1771,1049,2246,1836,Abrir
1865,1059,2271,1687,Abrir
1975,865,2215,1894,Abrir
2102,881,2265,2240,Abrir
1068,1270,2278,2071,Abrir
1904,1599,2262,2097,Abrir
2249,1463,2256,1716,Abrir
2318,1412,2233,2047,Abrir
2601,1365,2257,1774,Abrir
2189,1495,2240,1751,Abrir
1066,1424,2256,2128,Abrir
1904,1397,2240,2525,Abrir
1851,1520,2252,2159,Abrir
1729,1501,2237,3216,Abrir
2033,1557,2275,1980,Abrir
2064,1178,2256,1664,Abrir
1840,1075,2242,1699,Abrir
1738,1072,2237,1456,Abrir
2480,1083,2237,1557,Abrir
2448,850,2270,1296,Abrir
2391,1107,2231,1160,Abrir
1999,944,2256,1114,Abrir
2206,1518,2285,976,Abrir
2000,1179,2246,898,Abrir
2112,948,2247,995,Abrir
1818,1125,2221,621,Abrir
1680,1152,2287,269,Abrir
2314,1126,2247,113,Abrir
2496,1261,2262,80,Abrir
2469,1436,2217,146,Abrir
2130,1563,2256,109,Abrir
2096,1474,2256,29,Abrir
1689,912,2236,0,Abrir
1870,1140,2262,75,Abrir
1869,592,2256,2,Abrir
2201,944,2246,19,Abrir
1985,1181,2240,0,Abrir
2085,1518,2234,0,Abrir
2094,942,2223,0,Abrir
1423,1050,2267,0,Abrir
1695,983,2277,0,Abrir
1418,577,2282,0,Abrir
1520,565,2254,0,Abrir
1535,657,2256,0,Abrir
1708,835,2260,0,Abrir
1514,462,2235,0,Abrir
1367,963,2285,0,Abrir
962,755,2289,0,Abrir
1806,957,2257,0,Abrir
1621,814,2267,0,Abrir
1479,1179,2238,0,Abrir
1713,1389,2217,307,Abrir
2041,1217,2242,203,Abrir
1722,871,2273,414,Abrir
1921,671,2277,249,Abrir
1504,1011,2215,330,Abrir
1623,1122,2253,535,Abrir
1584,535,2246,833,Abrir
1754,1265,2265,767,Abrir
1872,1159,2270,1365,Abrir
2210,1456,2254,2267,Abrir
2094,1233,2211,2320,Abrir
1995,1495,2253,2228,Abrir
1743,653,2215,2214,Abrir
2342,1360,2242,2109,Abrir
2313,2105,2274,2094,Abrir
2119,1442,2230,2159,Abrir
1620,873,2283,2031,Abrir
1985,1458,2256,2019,Abrir
1851,1936,2256,1535,Abrir
1325,1943,2219,1535,Abrir
1790,2182,2235,2224,Abrir
1942,2151,2224,2703,Abrir
2310,2155,2215,2304,Abrir
1711,1947,2276,2203,Abrir
2023,1988,2240,2021,Abrir
2544,1937,2271,1821,Abrir
2246,1333,2253,1796,Abrir
2771,1648,2257,1926,Abrir
2416,1799,2243,1941,Abrir
2855,1851,2259,1856,Abrir
3082,2290,2235,2146,Abrir
2290,1515,2274,1622,Abrir
1782,1616,2244,1200,Abrir
1892,1711,2242,1136,Abrir
2147,1712,2253,2146,Abrir
1810,1600,2261,1734,Abrir
3248,2783,2279,1313,Abrir
2644,2359,2253,1136,Abrir
2903,2026,2256,607,Abrir
2736,2256,2218,679,Abrir
2770,1597,2271,693,Abrir
2910,1837,2242,528,Abrir
2414,2512,2258,624,Abrir
2602,1782,2279,237,Abrir
3175,2359,2239,29,Abrir
2864,1967,2275,0,Abrir
2527,2115,2239,0,Abrir
2631,1806,2247,0,Abrir
2721,1639,2226,0,Abrir
2778,1455,2258,0,Abrir
2877,1512,2246,175,Abrir
2605,954,2222,36,Abrir
2036,981,2273,0,Abrir
1927,1177,2243,0,Abrir
2119,1242,2239,0,Abrir
2417,1392,2252,0,Abrir
2892,1313,2263,0,Abrir
1798,911,2252,0,Abrir
1481,495,2253,0,Abrir
1766,694,2270,0,Abrir
1697,931,2283,0,Abrir
1306,1104,2246,0,Abrir
384,1103,2254,0,Abrir
1287,962,2256,0,Abrir
1839,1223,2288,0,Abrir
1535,1129,2269,0,Abrir
2006,1017,2278,26,Abrir
2009,882,2282,45,Abrir
1824,784,2224,113,Abrir
1769,437,2259,149,Abrir
1855,731,2236,281,Abrir
2107,803,2238,141,Abrir
2110,1179,2251,188,Abrir
1223,1313,2258,371,Abrir
1517,1038,2258,458,Abrir
1600,1471,2237,542,Abrir
2022,798,2277,690,Abrir
2023,1100,2250,626,Abrir
1926,1086,2247,880,Abrir
2036,1371,2234,946,Abrir
1837,1454,2224,895,Abrir
1978,1713,2250,1013,Abrir
2285,2182,2233,2224,Abrir
1998,1761,2241,2053,Abrir
1859,1694,2243,1535,Abrir
1981,1951,2246,1471,Abrir
2607,1874,2273,1702,Abrir
2394,1947,2277,1739,Abrir
2355,1776,2275,1862,Abrir
2309,1892,2272,1751,Abrir
2675,1891,2244,2139,Abrir
2455,1904,2243,2066,Abrir
2996,1439,2253,1387,Abrir
2354,1824,2245,1749,Abrir
2588,1424,2255,2047,Abrir
2525,1127,2267,1730,Abrir
2290,1320,2199,1563,Abrir
2624,1117,2250,1840,Abrir
2343,1472,2247,2047,Abrir
2473,1330,2224,1701,Abrir
2559,1711,2257,1328,Abrir
1937,1707,2228,1483,Abrir
2782,1535,2256,1109,Abrir
2389,1266,2256,1450,Abrir
2815,1633,2242,1147,Abrir
2361,1409,2256,1122,Abrir
2883,1937,2253,1283,Abrir
3136,1809,2251,1312,Abrir
3120,1773,2251,1118,Abrir
2386,1904,2247,662,Abrir
